student;status
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;18
21;20
22;19
23;21
24;22
25;19
26;12
27;11
28;23
29;24
30;25
31;25
32;19
33;12
34;19
35;26
36;12
37;27
38;11
39;28
40;11
41;12
42;29
43;30
44;10
45;10
46;31
47;32
48;10
49;33
50;12
51;12
52;11
53;12
54;19
55;13
56;19
57;12
58;12
59;26
60;11
61;34
62;35
63;35
64;18
65;10
66;36
67;37
68;5
69;38
70;10
71;39
72;10
73;10
74;40
75;10
76;10
77;10
78;10
79;10
80;10
81;31
82;41
83;42
84;4
85;43
86;4
87;4
88;4
89;4
90;4
91;6
92;6
93;4
94;44
95;4
96;4
97;45
98;4
99;6
100;6
101;46
102;47
103;10
104;48
105;49
106;50
107;51
108;52
109;53
110;54
111;55
112;56
113;57
114;39
115;10
116;58
117;59
118;60
119;31
120;61
121;62
122;39
123;36
124;63
125;64
126;65
127;12
128;10
129;39
130;66
131;25
132;39
133;6
134;67
135;68
136;19
137;21
138;12
139;19
140;4
141;69
142;70
143;6
144;10
145;71
146;66
147;72
148;61
149;10
150;12
151;6
152;6
153;3
154;73
155;2
156;74
157;66
158;31
159;75
160;12
161;4
162;44
163;4
164;10
165;59
166;25
167;76
168;19
169;77
170;5
171;78
172;12
173;12
174;46
175;79
176;10
177;25
178;26
179;6
180;9
181;80
182;37
183;10
184;81
185;82
186;12
187;10
188;2
189;45
190;39
191;12
192;19
193;18
194;12
195;83
196;37
197;84
198;85
199;47
200;56
201;86
202;12
203;87
204;26
205;88
206;12
207;31
208;13
209;12
210;89
211;12
212;19
213;90
214;2
215;38
216;89
217;9
218;4
219;4
220;43
221;91
222;91
223;6
224;4
225;45
226;6
227;4
228;6
229;6
230;6
231;92
232;93
233;94
234;54
235;10
236;19
237;95
238;44
239;96
240;66
241;39
242;54
243;97
244;32
245;91
246;98
247;99
248;6
249;44
250;47
251;10
252;100
253;18
254;19
255;19
256;101
257;102
258;10
259;103
260;32
261;10
262;104
263;105
264;17
265;25
266;26
267;10
268;44
269;106
270;39
271;107
272;108
273;12
274;109
275;12
276;12
277;37
278;31
279;110
280;2
281;10
282;111
283;10
284;10
285;112
